course_code,course_title,course_teacher,link,fas_code,unique_code,num_responded,num_students,course_score_mean,course_score_median,course_score_mode,course_score_stdev,lecturer_score_mean,lecturer_score_median,lecturer_score_mode,lecturer_score_stdev,workload_score_mean,workload_score_median,workload_score_mode,workload_score_stdev,rec_score_mean,rec_score_median,rec_score_mode,rec_score_stdev,sentiment_score_mean,sentiment_score_median,sentiment_score_mode,sentiment_score_stdev,gem_score_mean,gem_score_median,gem_score_mode,gem_score_stdev,best_comment,max_sent_score,worse_comment,min_sent_score,best_gem_comment,max_gem_score,course_id,course_level,department,subject,qrd,divisional,gened,course_component,course_title_2023
AFRAMER 11,Introduction to African Studies 001,Agbiboa,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b2599b5651407aa017df7078d3d5f9dbb03fa8bd812fc661a4f6849fe24989659e7cee22769b84e2502d5855381b6227&ReportType=2&regl=en-US,FAS-123591-2228-1-1-001,FAS-123591-2228-1-1-001(Agbiboa),13.0,13.0,4.62,5.0,5.0,0.6339709708805222,4.77,5.0,5.0,0.4229525846816506,4.92,4.0,3.0,3.77,4.54,5.0,5.0,0.66,0.65132,0.7222999999999999,0.4019,0.3179134221765416,0.0,0.0,0.0,0.0,"This class is great as an introduction to contemporary Africa. I took it to learn more about the continent and it sure was one great class. The conversations were so engaging, and the class was relatively like a seminar class and I felt included in all the conversations. Some of the  discussions were really eye–opening and I just can't emphasize how much my perspectives of the African content have been shaped. For those wondering about the workload, don't even think about it. It's really manageable. Just make sure you do your readings ahead of time and prepare a few points for discussions in class. The rest is a smooth ride back home!",0.9566,,0.0,,0.0,123591,Primarily for Undergraduate Students,African & African Amer Studies,African & African Amer Studies,,Social Sciences,,Lecture,Introduction to African Studies
AFRAMER 20,Introduction to African Languages and Cultures 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=4ae87dfd97d1bc3d00ab4cbae1654c96591569d4e8adaffc642b8ea57920ea1d9c11b526fc36687bfd128407c03eb131&ReportType=2&regl=en-US,FAS-118883-2228-1-1-001,FAS-118883-2228-1-1-001(Mugane),5.0,5.0,4.4,5.0,5.0,1.2060453783110543,4.8,5.0,5.0,0.4020151261036848,3.8,4.0,5.0,1.3,4.4,5.0,5.0,1.34,0.8703333333333333,0.8779,0.836,0.0312448929160164,0.0,0.0,0.0,0.0,This is a great class to take if you're interested in learning more about African language and culture. The class is a little longer than necessary and dull at times but it's not too difficult and you end up forming a great community.,0.8971,,0.0,,0.0,118883,Primarily for Undergraduate Students,African & African Amer Studies,African & African Amer Studies,,Social Sciences,,Lecture,Introduction to African Languages and Cultures
AFRAMER 115Y,Introduction to African Popular Culture LEC,Ogene,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e0669963be317c149f6ccacfac6b97afd59e0be50e296de380d313f98cb596c2be1633df9e523957d03002dfd0dbdf4b&ReportType=2&regl=en-US,FAS-218819-2228-1-1-LEC,FAS-218819-2228-1-1-LEC(Ogene),7.0,10.0,4.8,5.0,5.0,0.4020151261036848,4.8,5.0,5.0,0.4020151261036848,4.5,4.0,8.0,2.65,5.0,5.0,5.0,0.0,0.5010666666666667,0.7269,0.0,0.4346388654197106,0.0,0.0,0.0,0.0,This is a great course. African students are likely to enjoy it and have very interesting and engaging conversations in class. It’s very manageable through the semester but that final assignment will sneak up on you…25–30 pages is no joke!,0.7763,,0.0,,0.0,218819,For Undergraduate and Graduate Students,African & African Amer Studies,African & African Amer Studies,,Arts and Humanities,,Seminar,Introduction to African Popular Culture
AFRAMER 174X,African Architecture 001,Blier,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=6630c09d5022057e1e03aa6f4b45d54aaa8b9a24ef2c631c6dc61795d8f79a1c3264636d4b6766733ed8c98f7d7e1069&ReportType=2&regl=en-US,FAS-122496-2228-1-1-001,FAS-122496-2228-1-1-001(Blier),12.0,16.0,3.67,4.0,4.0,0.8171767114754176,3.78,4.0,3.0,0.789672569132238,6.0,4.0,5.0,5.52,3.67,3.0,3.0,0.87,0.5480499999999999,0.5480499999999999,0.4404,0.1522400899894636,0.0,0.0,0.0,0.0,It's very informative and engaging if you are interested in African history or Architecture in any way,0.6557,,0.0,,0.0,,,,,,,,,
AFRAMER 184X,Jim Crow: Histories and Revivals 001,Eatmon,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=689534a3dc14945855e23a639ce8a191b42005ccb3c97621538885835c60da9994456311660693e0ea9b7d821c1e4f46&ReportType=2&regl=en-US,FAS-220490-2228-1-1-001,FAS-220490-2228-1-1-001(Eatmon),13.0,19.0,4.23,5.0,5.0,1.471067776834366,4.15,5.0,5.0,1.5616618964384956,6.75,5.5,3.0,4.79,4.23,5.0,5.0,1.54,0.4476888888888888,0.5434,0.94,0.6469254428534336,0.0,0.0,0.0,0.0,"Definitely take this class! Out of all the classes I've taken at Harvard, this one definitely ranks towards the top. The content is extremely interesting, and you leave the class with a newfound appreciation for coalition building. Additionally, this class does a great job of using the struggles of other racial minorities/marginalized individuals to highlight why coalitions have been so powerful in American history. If you're looking for a great history/African American Studies class that examines prominent issues that have impacted Black people, then this is the class for you. Professor Eatmon is a terrific professor who genuinely cares about her students, and she's well–versed in the content. Must take class.",0.9858,"I would not recommend anyone take this course, as the classroom environment is hostile. Specific students are targeted in the course and are harassed for how they speak and for the contributions they make. It’s also listed as a discussion course, but Professor Eatmon simply cancels discussion.  This makes it uncomfortable to speak.The course provides no flexibility and Professor Eatmon makes it difficult for you to ask for an extension for assignments. She also tediously marks for attendance, including lateness. This matters more for your participation grade than what you actually include in the course.  She would rather students not come at all than come late or need to leave intermediately for medical for medical or other reasons. The classroom is not an open space. Feedback was met with pushback. I think we all hoped for acceptance and a place where discussion was allowed to occur. This was not the environment for that. Further, there is no flexibility in terms of lateness and extensions. This creates a burden for students who experience health conditions and family issues throughout the semester. As the course stands, several students were denied needed extensions for coursework for sickness, death, and other issues in their lives and their families. Class time was also used to stream full documentaries in the course. Because the Professor would not sleep or would otherwise not want to lecture, we would sit through documentary films unrelated to course material. There is little discussion of Jim Crow within the course even though it is described as a course about Jim Crow. We spent more time on present–day issues than history and  barely discussed Black history after Reconstruction.I would prefer to see a consistent policy on slurs in the classroom. Professor Eatmon full on said slurs against multiple groups in the class that were not Black.  Black students couldn't say the n–word but she would say multiple slurs.Further, the documentaries and high–school–level videos we watched were not applicable.  Professor Eatmon expects us to put her course above everything else in our lives, including our well–being and other coursework. Thus, she assigns hard to understand assignments and expects us to spend all our time on them.  To take this course, you have to commit to always being right on the dot for class  and agree with her in every class.",-0.9009,,0.0,220490,For Undergraduate and Graduate Students,African & African Amer Studies,African & African Amer Studies,,Social Sciences,,Lecture,Jim Crow: Histories and Revivals
AFRAMER 215X,Black Literary Avant-Gardes 001,McCarthy,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=2d2df76ebf600650fa1d6567e6674591f0623b01781987acecf8e9a5b8343c3160e310fda1a3de5fb90ea08cbdfe2608&ReportType=2&regl=en-US,FAS-220164-2228-1-1-001,FAS-220164-2228-1-1-001(McCarthy),6.0,11.0,4.67,5.0,5.0,0.4725815626252608,4.83,5.0,5.0,0.3775251680686369,7.8,8.0,10.0,2.28,4.6,5.0,5.0,0.55,0.9148,0.9148,0.9148,-1.0,0.0,0.0,0.0,-1.0,"Take this course! Not only is Jesse a fantastic teacher and brilliant thinker, you will get to read so many amazing poems, novels, essays, and stories.",0.9148,,0.0,,0.0,,,,,,,,,
SWAHILI AA,Elementary Swahili 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=22141789a0a2d3ed37449432b69c5d748c5e2fdb67eaa7d6eb4d751ee4e35049df607c8c6fbe6eec9aecf9807e2d05c9&ReportType=2&regl=en-US,FAS-119819-2228-1-1-001,FAS-119819-2228-1-1-001(Mugane),5.0,7.0,4.8,5.0,5.0,0.4020151261036848,5.0,5.0,5.0,0.0,5.2,5.0,4.0,1.3,4.8,5.0,5.0,0.45,0.685825,0.7636000000000001,0.6249,0.2940656545172636,0.0,0.0,0.0,0.0,Great way to fulfill your language requirement. Loved this class. Make sure to review the material often.,0.9217,,0.0,,0.0,119819,For Undergraduate and Graduate Students,African & African Amer Studies,Swahili,,None,,Seminar,Elementary Swahili
WSTAFRCN AA,Elementary West African Pidgin 001,Ehineni,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=c4bc5a79b2d4f0d9e190ef9b2df8b890f4d9e86103f697e393b78d86f2e6d08f86f824c2472ea013600828c66f2f8fcd&ReportType=2&regl=en-US,FAS-204110-2228-1-1-001,FAS-204110-2228-1-1-001(Ehineni),20.0,28.0,4.14,5.0,5.0,0.993485272670404,5.0,5.0,5.0,0.0,2.77,3.0,3.0,1.42,4.64,5.0,5.0,0.63,0.6378714285714285,0.7177,0.0,0.3561319030653563,0.0,0.0,0.0,0.0,"I highly recommend this course! This year, it was taught by Grace A. and she's great. Learned so much about a fascinating language, 10/10",0.9293,,0.0,,0.0,204110,Primarily for Undergraduate Students,African & African Amer Studies,West African Pidgin,,None,,Seminar,Elementary West African Pidgin
YORUBA BA,Intermediate Yoruba 001,Ehineni,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f168606c768dd709d7a2bc5a4ce7e12bbdd022218df5c7d1ee1b4084045cc45d19dbd7d76393ac0a0edc9628f9944948&ReportType=2&regl=en-US,FAS-120953-2228-1-1-001,FAS-120953-2228-1-1-001(Ehineni),5.0,6.0,4.6,5.0,5.0,0.4923659639173309,0.0,0.0,0.0,-1.0,3.8,3.0,3.0,1.64,4.2,4.0,4.0,0.84,0.5023,0.5023,0.5023,-1.0,0.0,0.0,0.0,-1.0,"Take Yoruba. It's not as daunting as you may think, and the class goes so much deeper than language itself but into the culture. You will learn more about where you fit into Yorubaland as a Diasporan.",0.5023,,0.0,,0.0,120953,Primarily for Undergraduate Students,African & African Amer Studies,Yoruba,,None,,Seminar,Intermediate Yoruba
ANTHRO 98A,Junior Tutorial in Anthropology 001,Liebmann,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=405ed3c7aba938a7ef94669f6c472ed3c4f234d2f1320889f8e711c8614856582a6d9f62b99ab1bcbe11c9cdfca694db&ReportType=2&regl=en-US,FAS-205494-2228-1-1-001,FAS-205494-2228-1-1-001(Liebmann),13.0,18.0,4.08,4.0,5.0,1.0075974023649157,5.0,5.0,5.0,0.0,2.69,3.0,3.0,1.6,4.64,5.0,5.0,0.5,0.6140571428571429,0.8491,-0.25,0.4295996114878087,0.0,0.0,0.0,0.0,"98a is a wonderful opportunity to think critically about anthropological research and even come up with your own research proposal –– really invest a lot of care into this class because, if you do it right, you can emerge from the class with a very solid research proposal for your senior thesis (although you don't have to come up with a thesis topic; it can be any research proposal). ilkim is also a wonderful TF who is so supportive and helps to cultivate such a wonderful classroom environment.",0.9742,Put a decent amount of thought into the topic you choose to research the beginning of the year because you end up stuck with it,-0.25,,0.0,205494,Primarily for Undergraduate Students,Anthropology,Anthropology,,Social Sciences,,Tutorial,Junior Tutorial in Anthropology
