course_code,course_title,course_teacher,link,fas_code,unique_code,num_responded,num_students,course_score_mean,course_score_median,course_score_mode,course_score_stdev,lecturer_score_mean,lecturer_score_median,lecturer_score_mode,lecturer_score_stdev,workload_score_mean,workload_score_median,workload_score_mode,workload_score_stdev,rec_score_mean,rec_score_median,rec_score_mode,rec_score_stdev,sentiment_score_mean,sentiment_score_median,sentiment_score_mode,sentiment_score_stdev,gem_probability_mean,gem_probability_median,gem_probability_mode,gem_probability_stdev,best_comment,max_sent_score,worse_comment,min_sent_score,best_gem_comment,max_gem_probability
AFRAMER 55,"Ishmael Reed: Novels, Poetry, Essays 001",Carpio,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=2a25bbb354dd26d2a5018145b3eccac802438e93cb86651665bfd7dc8f5e8b888dcf958e60eb641327093338906fe195&ReportType=2&regl=en-US,FAS-223976-2242-1-1-001,FAS-223976-2242-1-1-001(Carpio),5,7,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,4.5,5.0,5.0,1.0,4.75,5.0,5.0,0.5,0.3072,0.0,0.0,0.532086008085159,0.0,0.0,0.0,0.0,"If you love Black literature or have an interest in rumination on pan–Africanism, take this course. Professor Carpio is easily one of the most intelligent and sensitive professor's at Harvard, and this course will challenge the ways you consider Blackness, Generation African–American identity, literary tradition, and the project of an author.",0.9216,,0.0,,0.0
AFRAMER 97,Sophomore Tutorial: Understanding Race and Racism 001,Martin,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=5d0b6a48dfb3bab77a50898a06c91cf5b5b044a9b5aad311086eab378bda78327c715ad19bb447b78d5393240317c4f8&ReportType=2&regl=en-US,FAS-123590-2242-1-1-001,FAS-123590-2242-1-1-001(Martin),11,14,4.82,5.0,5.0,0.3861229196653691,5.0,5.0,5.0,0.0,3.8,3.5,3.0,1.23,4.82,5.0,5.0,0.4,0.7333142857142857,0.8433,0.8433,0.33431383672916,0.0,0.0,0.0,0.0,PROFESSOR MARTIN IS AMAZING!!! Super caring and considerate of students and their needs. I felt like she and this class was a great example of how professors can balance academic rigor and productivity with students well being and needs and this class catered to both very well.,0.9781,,0.0,,0.0
AFRAMER 113X,Fiction Writing: Workshop 001,Kincaid,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e5d0f8c21823d3190253169d9fec6fea83ebaa07244be78933b1284d27865b9687c1db6a5cfa47bfc243fed0e3bc4ab5&ReportType=2&regl=en-US,FAS-219702-2242-1-1-001,FAS-219702-2242-1-1-001(Kincaid),7,11,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,3.67,3.5,2.0,1.86,5.0,5.0,5.0,0.0,0.5515,0.5588,0.4588,0.08927412839115262,0.0,0.0,0.0,0.0,"I don't think this class will be offered by Professor Kincaid in the future, as she is retiring. However, after taking this as my first writing workshop, I'd definitely recommend taking a writing workshop taught by another professor.",0.6369,,0.0,,0.0
AFRAMER 119X,"Chocolate, Culture, and the Politics of Food 001",Martin,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=863f39f638bdb25b3cf26aafb1302226bdbdca96f951ba4ee8d4388070678f4b455475678f74a3cb132998e6b550957e&ReportType=2&regl=en-US,FAS-108879-2242-1-1-001,FAS-108879-2242-1-1-001(Martin),38,42,4.63,5.0,5.0,0.6897667649748749,4.73,5.0,5.0,0.902241876682968,2.93,3.0,2.0,1.39,4.63,5.0,5.0,0.81,0.7231909090909091,0.867,0.9682,0.3099544077910345,0.0,0.0,0.0,0.0,"You get from this class what you put in. It's pretty easy to coast if you wish, but the course materials are also interesting if you buy in. The teaching staff are really kind people and want everyone to succeed. There are also fun tastings in class!",0.975,,0.0,,0.0
AFRAMER 123Z,American Democracy 001,Mangabeira Unger,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=2e5b7a48b853ad70879934cbfbb721a3b20884253b561344133e82abb928e67de91e284e9207324d4067b4cbca6d2980&ReportType=2&regl=en-US,FAS-111438-2242-1-1-001,FAS-111438-2242-1-1-001(Mangabeira Unger),7,10,3.33,3.0,3.0,0.9516010479478496,3.75,4.0,5.0,1.3055824196677337,3.17,3.0,3.0,2.14,3.33,4.0,4.0,1.51,-0.20309999999999997,-0.20309999999999997,0.3612,0.7980407132471375,0.0,0.0,0.0,0.0,would recommend taking the course,0.3612,"I would advise against taking this class. If you are interested in the content, just read Unger's writings. Lectures are repetitive restatements of the ideas within. I was frustrated by the unwillingness to discuss ideas that did not fall neatly within the framework developed by Unger. Weekly section (for undergraduates) was dreadful.",-0.7674,,0.0
AFRAMER 123Z,American Democracy 001,Stauffer,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=3615b441d8f9b6d5b464229d08ff39e5855f58da8d821ff4e25ce44cd85cc8df46c0985a064d43d37d83f992636c6c4a&ReportType=2&regl=en-US,FAS-111438-2242-1-1-001,FAS-111438-2242-1-1-001(Stauffer),9,13,3.13,3.0,3.0,1.1798146997237884,3.88,5.0,5.0,1.550452242064029,3.0,3.0,3.0,2.0,3.43,4.0,4.0,1.4,0.18103333333333335,0.3612,0.9493,0.872416037984936,0.0,0.0,0.0,0.0,"Stauffer and Unger are rock stars. Both incredibly smart and articulate. They led the class with a podcast–style lecture that was fun (though sometimes dragged if the week's readings weren't interesting or if the class wasn't asking questions), and the assignments were doable. Section component was honestly awesome as most students were interested in the subject matter. This class is definitely lecture–style so don't expect this to be an intimate seminar.",0.9493,"I would advise against taking this class. If you are interested in the content, just read Unger's writings. Lectures are repetitive restatements of the ideas within. I was frustrated by the unwillingness to discuss ideas that did not fall neatly within the framework developed by Unger. Weekly section (for undergraduates) was dreadful.",-0.7674,,0.0
AFRAMER 142X,Foundations of Modern Jazz 001,Monson,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=96a1bdef1661ae0f5a42216b89874a8dd58d7ed54da41db58a27a6dce62a6103b6db1f4bc5e95e987e9c0d7e30f18ea5&ReportType=2&regl=en-US,FAS-223989-2242-1-1-001,FAS-223989-2242-1-1-001(Monson),11,15,4.78,5.0,5.0,0.41633319989322654,4.5,5.0,5.0,0.8703882797784892,3.56,3.0,3.0,1.24,4.89,5.0,5.0,0.33,0.7730714285714285,0.8999,0.25,0.26164892963846115,0.0,0.0,0.0,0.0,"***TAKE IT! If you truly love jazz or music in general, you should take it. The readings are good but if you didn't finish them it's okay. Professor Terry and Monson are sweethearts as well as Christina. I took it not knowing how to play an instrument and having 0 technical skills in music or composing or signing. However, I left the course feeling like an equal to any other musician without having to pick up an instrument!",0.9732,,0.0,,0.0
AFRAMER 160X,Engaging Africa and its Cultures 001,Ogene,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=1ea87f2d1bb6ec3ab7e4e4b09d3714ddf63d7b2421a252f106afb7d1ebd410bb20730369e2d68abc71c85891340d436a&ReportType=2&regl=en-US,FAS-220587-2242-1-1-001,FAS-220587-2242-1-1-001(Ogene),20,28,4.82,5.0,5.0,0.3861229196653691,4.88,5.0,5.0,0.32659863237109044,1.71,1.0,1.0,1.33,4.82,5.0,5.0,0.39,0.7569888888888889,0.8338,0.9272,0.29547333824071353,0.1111111111111111,0.0,0.0,0.3333333333333333,"Prof Ogene is so kind, and this class is one of a kind. I really loved listening to incredible African artists speak about their life work. Absolutely amazing class",0.9585,,0.0,"Please please please take this course, it's actually a gem! Come into the class with an open–minded and willingness to learn about African culture and you will learn so much from the conversations with the guests. Also, Prof. Ogene is one of the kindest professors at this school, if not the kindest!",0.8217
AFRAMER 191X,African American Lives in the Law 001,Higginbotham,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f2601147a09d29d219d16b875001cd1f19e3e383a999cdc85f10b642308c34993ad1fb3d3184691d3724e504a324c8ca&ReportType=2&regl=en-US,FAS-127960-2242-1-1-001,FAS-127960-2242-1-1-001(Higginbotham),15,16,4.67,5.0,5.0,0.47258156262526085,4.85,5.0,5.0,0.3588702812826367,5.21,5.0,5.0,1.85,4.6,5.0,5.0,0.51,0.5276222222222222,0.9287,0.9551,0.5613484296267733,0.0,0.0,0.0,0.0,I enjoyed learning from Professor Higginbotham! She is very knowledgable about African American history and also offered great insights. I just think more set one–on–one time and feedback would have been helpful. I also wish that we could have gotten the required readings for free as we only used them for one class session. Overall though I enjoyed the course!,0.9642,It’s a low stress environment where you can learn a lot from your classmates,-0.5994,,0.0
AFRAMER 192X,Religion and Society in Nigeria 001,Olupona,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=457089afd004b83b69412102afc09e8a4714ce030eadedc7b5f67c2d22feddfb1167719c21b772ef7d5bc525e0488133&ReportType=2&regl=en-US,FAS-122498-2242-1-1-001,FAS-122498-2242-1-1-001(Olupona),11,18,4.0,4.0,3.0,0.8206518066482898,4.88,5.0,5.0,0.33655211592363116,4.33,3.0,2.0,4.18,4.22,4.0,4.0,0.97,0.7894,0.802,0.6696,0.17061897608413898,0.0,0.0,0.0,0.0,"Make sure to take a course with Professor Olupona if you can. He is one of the best (and hilarious) professors here, and this course will also open your eyes into the complex situation present in the Nigerian context. This course is not intensive due to busywork, but it is definitely a good idea to stay on top of the readings so as not to fall behind in the class discussion, though each lecture is relatively separate from the others. All in all it is a great course and if you are interested in Nigeria, whether or not you are Nigerian yourself, you should take the course.",0.9721,,0.0,,0.0
