course_code,course_title,course_teacher,link,fas_code,unique_code
AFRAMER 55,"Ishmael Reed: Novels, Poetry, Essays 001",Carpio,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=2a25bbb354dd26d2a5018145b3eccac802438e93cb86651665bfd7dc8f5e8b888dcf958e60eb641327093338906fe195&ReportType=2&regl=en-US,FAS-223976-2242-1-1-001,FAS-223976-2242-1-1-001(Carpio)
AFRAMER 97,Sophomore Tutorial: Understanding Race and Racism 001,Martin,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=5d0b6a48dfb3bab77a50898a06c91cf5b5b044a9b5aad311086eab378bda78327c715ad19bb447b78d5393240317c4f8&ReportType=2&regl=en-US,FAS-123590-2242-1-1-001,FAS-123590-2242-1-1-001(Martin)
AFRAMER 113X,Fiction Writing: Workshop 001,Kincaid,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e5d0f8c21823d3190253169d9fec6fea83ebaa07244be78933b1284d27865b9687c1db6a5cfa47bfc243fed0e3bc4ab5&ReportType=2&regl=en-US,FAS-219702-2242-1-1-001,FAS-219702-2242-1-1-001(Kincaid)
AFRAMER 119X,"Chocolate, Culture, and the Politics of Food 001",Martin,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=863f39f638bdb25b3cf26aafb1302226bdbdca96f951ba4ee8d4388070678f4b455475678f74a3cb132998e6b550957e&ReportType=2&regl=en-US,FAS-108879-2242-1-1-001,FAS-108879-2242-1-1-001(Martin)
AFRAMER 123Z,American Democracy 001,Mangabeira Unger,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=2e5b7a48b853ad70879934cbfbb721a3b20884253b561344133e82abb928e67de91e284e9207324d4067b4cbca6d2980&ReportType=2&regl=en-US,FAS-111438-2242-1-1-001,FAS-111438-2242-1-1-001(Mangabeira Unger)
AFRAMER 123Z,American Democracy 001,Stauffer,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=3615b441d8f9b6d5b464229d08ff39e5855f58da8d821ff4e25ce44cd85cc8df46c0985a064d43d37d83f992636c6c4a&ReportType=2&regl=en-US,FAS-111438-2242-1-1-001,FAS-111438-2242-1-1-001(Stauffer)
AFRAMER 142X,Foundations of Modern Jazz 001,Monson,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=96a1bdef1661ae0f5a42216b89874a8dd58d7ed54da41db58a27a6dce62a6103b6db1f4bc5e95e987e9c0d7e30f18ea5&ReportType=2&regl=en-US,FAS-223989-2242-1-1-001,FAS-223989-2242-1-1-001(Monson)
AFRAMER 160X,Engaging Africa and its Cultures 001,Ogene,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=1ea87f2d1bb6ec3ab7e4e4b09d3714ddf63d7b2421a252f106afb7d1ebd410bb20730369e2d68abc71c85891340d436a&ReportType=2&regl=en-US,FAS-220587-2242-1-1-001,FAS-220587-2242-1-1-001(Ogene)
AFRAMER 191X,African American Lives in the Law 001,Higginbotham,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f2601147a09d29d219d16b875001cd1f19e3e383a999cdc85f10b642308c34993ad1fb3d3184691d3724e504a324c8ca&ReportType=2&regl=en-US,FAS-127960-2242-1-1-001,FAS-127960-2242-1-1-001(Higginbotham)
AFRAMER 192X,Religion and Society in Nigeria 001,Olupona,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=457089afd004b83b69412102afc09e8a4714ce030eadedc7b5f67c2d22feddfb1167719c21b772ef7d5bc525e0488133&ReportType=2&regl=en-US,FAS-122498-2242-1-1-001,FAS-122498-2242-1-1-001(Olupona)
