course_code,course_title,course_teacher,link,fas_code,unique_code
AFRAMER 10,Introduction to African American Studies 001,Gates,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=86b49072903b4ae22000228c189e1d57793024fef8387762137acf0c106665e29838b12b337a97160e197851182e5f9e&ReportType=2&regl=en-US,FAS-122910-2232-1-1-001,FAS-122910-2232-1-1-001(Gates)
AFRAMER 10,Introduction to African American Studies 001,Higginbotham,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=27f04c34eb6e3fff50da85da73dd8d9a711f1740add1ec908bd38405fda5636a40a10d393cf870cec6de5167df3e869f&ReportType=2&regl=en-US,FAS-122910-2232-1-1-001,FAS-122910-2232-1-1-001(Higginbotham)
AFRAMER 97,Sophomore Tutorial: Understanding Race and Racism 001,Martin,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=5673ac5e930145753565ace625d66986df44d298594a36f6b160d65c5141c8d36d5e37507a44a6cd3ed216be13519274&ReportType=2&regl=en-US,FAS-123590-2232-1-1-001,FAS-123590-2232-1-1-001(Martin)
AFRAMER 112,"Black Humor: Performance, Art, and Literature 001",Carpio,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f89227fd586b9ad2837896d9175ae4223f885333a165a7813e1f771959e8aed1f32c543a5fd4224b6d165d0b0f561f26&ReportType=2&regl=en-US,FAS-122487-2232-1-1-001,FAS-122487-2232-1-1-001(Carpio)
AFRAMER 119X,"Chocolate, Culture, and the Politics of Food 001",Martin,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=88241246db502c53e6917ced30c75e5408d6cee61948f5bf41a15d2f7a94ad1bb7d7f78c2c12c91ccefe41e682b588dd&ReportType=2&regl=en-US,FAS-108879-2232-1-1-001,FAS-108879-2232-1-1-001(Martin)
AFRAMER 123Z,American Democracy 001,Mangabeira Unger,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=9f1adab8dfc8af396831c2dbbc8d0839be8c6201e4a726790162ed516929d4aee5d1013f0fe62db4bd5c0b44c1df06ae&ReportType=2&regl=en-US,FAS-111438-2232-1-1-001,FAS-111438-2232-1-1-001(Mangabeira Unger)
AFRAMER 123Z,American Democracy 001,Stauffer,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=080a0d1a325b69669a45ce9e5ee766e557edec3e1aff9f04cdde2fa400d93df2a2dad5d9caed9c5d2566eeb166c7f0a3&ReportType=2&regl=en-US,FAS-111438-2232-1-1-001,FAS-111438-2232-1-1-001(Stauffer)
AFRAMER 128X,People as Infrastructure: The Politics of Urban Infrastructure in Africa 001,Agbiboa,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=6fb5da35ff69ddf32b30c4e14c1ab14ed3ec7cbe023a115b3a693b7484155f04e20014f2c59f45ec7658a3466af0fae5&ReportType=2&regl=en-US,FAS-215997-2232-1-1-001,FAS-215997-2232-1-1-001(Agbiboa)
AFRAMER 130Y,"Mobility, Power and Politics 001",Agbiboa,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=863656e58f841c092858022ede1d40b26c845e041f1b0f40d2efcdabfff140f2e2b22a0b41a8374d62d32e0bd7565641&ReportType=2&regl=en-US,FAS-214576-2232-1-1-001,FAS-214576-2232-1-1-001(Agbiboa)
AFRAMER 160X,Engaging Africa and its Cultures 001,Ogene,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=2275545120e3bbf6074b0d1965469c5e8c560128c99c10ce518f681f1bd545e3e95e0083fe530c27d5d8aaf492bb2e41&ReportType=2&regl=en-US,FAS-220587-2232-1-1-001,FAS-220587-2232-1-1-001(Ogene)
