course_code,course_title,course_teacher,link,fas_code,unique_code,num_responded,num_students,course_score_mean,course_score_median,course_score_mode,course_score_stdev,lecturer_score_mean,lecturer_score_median,lecturer_score_mode,lecturer_score_stdev,workload_score_mean,workload_score_median,workload_score_mode,workload_score_stdev,rec_score_mean,rec_score_median,rec_score_mode,rec_score_stdev,sentiment_score_mean,sentiment_score_median,sentiment_score_mode,sentiment_score_stdev,gem_probability_mean,gem_probability_median,gem_probability_mode,gem_probability_stdev,best_comment,max_sent_score,worse_comment,min_sent_score,best_gem_comment,max_gem_probability,course_id,course_level,department,subject,qrd,divisional,gened,course_component,course_title_2024
AAAS 112,"Black Art and the Refounding of America: Art, Race, and U.S. Law 001",Lewis,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=7a0a2af3e410e112bf9de805337d95874c27341b5445e2f5053d952af958c58c9549a839ccebc274f7760f73d58e1223&ReportType=2&regl=en-US,FAS-222670-2238-1-1-001,FAS-222670-2238-1-1-001(Lewis),18.0,24.0,4.53,5.0,5.0,0.6105966613307698,4.81,5.0,5.0,0.5199067515459194,4.69,3.5,3.0,3.3,4.63,5.0,5.0,0.72,0.8295111111111111,0.9273,0.9014,0.2470525472669956,0.0,0.0,0.0,0.0,"The night after our first class session for AAAS 112, I wrote in my journal that I think Professor Lewis is going to be one of the best professors I've ever had at this school. Her wisdom, and more importantly, the breathtaking vulnerability and sincerity she gifted us that day, made me profoundly admire her and want to be like her as a professor and as a human. Class after class, my admiration for her only continued to grow! She brilliantly designed this class to take us on a historical journey across the United States and its use of race for discrimination and oppression, empowering us to tackle hard discussions as a group while opening up space for everyone to feel comfortable sharing their experiences and ideas. Doing this through the lens of art, one of the strongest tools constructing the social narratives all around us that uphold such negative societal structures, was mind opening. I greatly looked forward to our discussions every Wednesday morning, where we would engage in deep close readings of paintings or photographs, discuss the conclusions and implications of our readings, and saw each other grow in the depth and quality of our work. I feel extremely fortunate to have had this experience with Professor Lewis! She is one of the most dedicated, passionate and kind professors I've had at this school!",0.9938,,0.0,,0.0,,,,,,,,,
AAAS 112,"Black Art and the Refounding of America: Art, Race, and U.S. Law 001",Mayo,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=d677bffd2ced323346de4ea71de9730debfd7328e2678d628dc6b6aeafb06c5051167b0f72f47dd7fe21380cbc3f1f5b&ReportType=2&regl=en-US,FAS-222670-2238-1-1-001,FAS-222670-2238-1-1-001(Mayo),18.0,24.0,4.53,5.0,5.0,0.6105966613307698,5.0,5.0,5.0,0.0,4.69,3.5,3.0,3.3,4.63,5.0,5.0,0.72,0.8295111111111111,0.9273,0.2386,0.2470525472669956,0.0,0.0,0.0,0.0,"The night after our first class session for AAAS 112, I wrote in my journal that I think Professor Lewis is going to be one of the best professors I've ever had at this school. Her wisdom, and more importantly, the breathtaking vulnerability and sincerity she gifted us that day, made me profoundly admire her and want to be like her as a professor and as a human. Class after class, my admiration for her only continued to grow! She brilliantly designed this class to take us on a historical journey across the United States and its use of race for discrimination and oppression, empowering us to tackle hard discussions as a group while opening up space for everyone to feel comfortable sharing their experiences and ideas. Doing this through the lens of art, one of the strongest tools constructing the social narratives all around us that uphold such negative societal structures, was mind opening. I greatly looked forward to our discussions every Wednesday morning, where we would engage in deep close readings of paintings or photographs, discuss the conclusions and implications of our readings, and saw each other grow in the depth and quality of our work. I feel extremely fortunate to have had this experience with Professor Lewis! She is one of the most dedicated, passionate and kind professors I've had at this school!",0.9938,,0.0,,0.0,,,,,,,,,
AFRAMER 11,Introduction to African Studies 001,Agbiboa,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f8d732981bbbb5526df4e410f8acb552611875e47865190d9e1f7290e030c6948c983f21379ae6914427b9a9e391e0c3&ReportType=2&regl=en-US,FAS-123591-2238-1-1-001,FAS-123591-2238-1-1-001(Agbiboa),22.0,22.0,4.1,4.0,4.0,0.7533762390570582,4.5,5.0,5.0,0.7848952835000387,3.05,3.0,3.0,1.64,4.2,4.0,4.0,0.77,0.7373916666666667,0.7824500000000001,0.5709,0.1883542815515163,0.0,0.0,0.0,0.0,"TAKE IT!!! This class is an absolute gem! The workload is not bad at all. The professor and TF were so kind and passionate about the topic, which makes the class even more enjoyable. I've never read this many African writers, and I genuinely enjoyed it!",0.9614,,0.0,,0.0,123591,Primarily for Undergraduate Students,African & African Amer Studies,African & African Amer Studies,,Social Sciences,,Lecture,Introduction to African Studies
AFRAMER 111X,"Africa in the Twentieth Century: Culture, Representation, and New Diasporas SEM",Ogene,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=83c193a7136773b57d8178f3c9adb61d6951dbed50969e7e67029e3f3af5535afaa4060c514ee78f889d3327ddf0bea6&ReportType=2&regl=en-US,FAS-222142-2238-1-1-SEM,FAS-222142-2238-1-1-SEM(Ogene),5.0,6.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,4.0,4.0,5.0,1.0,5.0,5.0,5.0,0.0,0.9536,0.9536,0.9536,-1.0,0.0,0.0,0.0,-1.0,"Professor Ogene is fantastic, and the course really gives you a firm grounding for further engagement with African thought and culture by exposing you to many different items throughout the semester. Additionally, the course material is very interesting and classes, though in a small group setting, are not stressful at all. This is the ideal type of class for someone that is interested in a humanities course but is scared of the small group setting. Readings for the week take 2–3 hours at most, and Professor Ogene is always willing to work with you to further develop your own interests. Definitely take this course if you’re interested in the subject – you will not regret it!!!",0.9536,,0.0,,0.0,222142,For Undergraduate and Graduate Students,African & African Amer Studies,African & African Amer Studies,,Arts and Humanities,,Seminar,"Africa in the Twentieth Century: Culture, Representation, and New Diasporas"
AFRAMER 120X,African American Theatre SEM,Bernstein,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=7b97ab23f40cf6091aa63bcb130b04a56633f604979f11083a409a24ecddb7e6484904ed0cd62aa26c35e265eed798fa&ReportType=2&regl=en-US,FAS-108167-2238-1-1-SEM,FAS-108167-2238-1-1-SEM(Bernstein),7.0,12.0,4.83,5.0,5.0,0.3775251680686369,5.0,5.0,5.0,0.0,5.17,4.0,4.0,2.56,4.71,5.0,5.0,0.49,0.8031,0.8316,0.6239,0.1667863603535972,0.0,0.0,0.0,0.0,"If you are at all interested in African American Studies from a humanistic perspective, take this course. Like you may expect, this course will exercise your chops as a student of literature and history as you dive through a canon of Black American plays dating back to the antebellum era. Via this Black lens as well, you will gain a special appreciation for these works and the theater medium, more broadly. Moreover, you will also be given invaluable experience working with theater critically, an opportunity which is often missing from academic spaces.",0.9538,,0.0,,0.0,,,,,,,,,
AFRAMER 120X,African American Theatre SEM,Carpio,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=8f53475d7ddf337480a9a878e5427f4761fcbee07dfeb64ee602c2cd0ee87c7117415b8fd998d45c8ba3bd75afbfb8ae&ReportType=2&regl=en-US,FAS-108167-2238-1-1-SEM,FAS-108167-2238-1-1-SEM(Carpio),7.0,12.0,4.83,5.0,5.0,0.3775251680686369,5.0,5.0,5.0,0.0,5.17,4.0,4.0,2.56,4.71,5.0,5.0,0.49,0.8031,0.8316,0.6239,0.1667863603535972,0.0,0.0,0.0,0.0,"If you are at all interested in African American Studies from a humanistic perspective, take this course. Like you may expect, this course will exercise your chops as a student of literature and history as you dive through a canon of Black American plays dating back to the antebellum era. Via this Black lens as well, you will gain a special appreciation for these works and the theater medium, more broadly. Moreover, you will also be given invaluable experience working with theater critically, an opportunity which is often missing from academic spaces.",0.9538,,0.0,,0.0,,,,,,,,,
AFRAMER 135Y,Black Feminist Theory Seminar 001,Perry,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a8b17b05ac35fa7d98c8c811c856d4fc278fa62e56dacc1360ae9a5ffd0500c7a6483956036429fd8f1e53df8afb71e2&ReportType=2&regl=en-US,FAS-222230-2238-1-1-001,FAS-222230-2238-1-1-001(Perry),21.0,32.0,4.15,4.0,5.0,0.967919772950572,4.68,5.0,5.0,0.6649648244995988,3.06,3.0,3.0,1.34,4.25,4.5,5.0,0.97,0.8378625,0.9299,0.9743,0.1589569927235486,0.0,0.0,0.0,0.0,"This class had a lot of potential which made the disappointment stronger. I think there is hope and the course could be much better structured. But what I experienced was subpar. Having a class on this subject is incredibly important, which is why getting it right is important. There were few guided discussion questions and the conversations often led nowhere, stifling engagement with the text. The same people (overwhelmingly graduate students), spoke over and over again, and said few things of substance. The professor did not engage enough with the discussion to encourage critical thinking. Breakout sessions were not effective and wasted time, they had even less direction and would end quickly with students having nothing to say. There was no other structure to the course besides unguided discussion for three hours straight. This kind of experience turns people away from theory and academia and makes it seem like it has no purpose.The course assignments were very unclear. Because few to no requirements nor guidance was given, success in an assignment was nebulous, hard to understand, and hard to achieve. Additionally, because there were only two assignments, it was hard for students to learn from mistakes and improve. We had to  figure out for ourselves what a good paper looked like and what the staff was looking for. By the time we got our first feedback, 40% of our grade was finalized because there was only one other assignment left. Even after going to office hours, how to succeed in the next assignment was unclear. I'm not sure if this is how graduate level courses are intended to be, but since this course included first–years, the assignments did not feel appropriate for learning. Because there were few to none concrete guidelines given for assignments, grades were not assigned based on concrete mistakes or meeting the guidelines given. Even after soliciting more feedback in office hours, the course staff gave no concrete ways to improve in future work. I would encourage students to take other classes in race and gender studies, because they can be incredibly powerful and useful. If this course improves, I would encourage students to take it.",0.9843,,0.0,,0.0,,,,,,,,,
AFRAMER 146X,A Black History of Electronic Dance Music 001,Aumoithe,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0d00e4523165e9ea2520e4f03365074abecf8d6d0f26b48e82e78aaaceae5ea292ed6cb7f1a42bb1772b96a227d5e146&ReportType=2&regl=en-US,FAS-222657-2238-1-1-001,FAS-222657-2238-1-1-001(Aumoithe),9.0,12.0,4.86,5.0,5.0,0.348735088019777,5.0,5.0,5.0,0.0,8.86,8.0,10.0,1.86,4.86,5.0,5.0,0.38,0.8160499999999999,0.7953,0.8555,0.1085179094281984,0.0,0.0,0.0,0.0,"On top of its rich and engaging content focus, this course has an invigorating pedagogical approach that centers the voices of those in underground spaces who create electronic dance music and its surrounding culture. The readings inform and invite great class discussions!",0.9516,,0.0,,0.0,,,,,,,,,
AFRAMER 184X,Jim Crow: Histories and Revivals 001,Eatmon,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=4d90484beed4bbd9a1679a51c5ef972240a5c86b4f1ac97324c676ab09b567d7446655106440411e0562cc481df0e4f8&ReportType=2&regl=en-US,FAS-220490-2238-1-1-001,FAS-220490-2238-1-1-001(Eatmon),10.0,14.0,4.33,4.0,4.0,0.6700593942604899,4.67,5.0,5.0,0.4725815626252608,9.63,6.5,6.0,8.4,4.0,4.0,4.0,0.71,0.7866,0.802,0.7421,0.1304749209618461,0.0,0.0,0.0,0.0,"I loved this course, but I must say it was the hardest class I've taken at Harvard. Professor Eatmon is one of the smartest minds a student at Harvard could have access too and I highly recommend anyone who loves history and Black history to take it. The only way to enjoy the course is to lock in and actually do the readings, so if you're having one of those semesters where you won't read, this class will become your worst nightmare. You should always come to class because professor takes very intense role call and you lose slight points for being late. She can be tough, but when you are in the class itself it feels very peaceful and leave feeling stronger as a historian.",0.9687,,0.0,,0.0,,,,,,,,,
AFRAMER 197,"Poverty, Race, and Health 001",Williams,https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=3c90321e36c8684ae1f3aee2dc7232e0cb3694c34ea437533b8f66f47c82beac1a55a4ca5f68c6dc182ec30c7f2f3ace&ReportType=2&regl=en-US,FAS-123435-2238-1-1-001,FAS-123435-2238-1-1-001(Williams),14.0,20.0,4.0,4.0,4.0,0.8528028654224418,4.13,4.0,4.0,0.941138977121565,3.0,3.0,3.0,1.67,4.18,4.0,4.0,0.87,0.7089166666666666,0.7777499999999999,0.6994,0.2998251318129731,0.1666666666666666,0.0,0.0,0.408248290463863,Take this course! Super interesting and interdisciplinary. Dr. Williams is a legend in this field and a wealth of knowledge. Not very labor intensive assignment wise which is a huge bonus.,0.9583,,0.0,"I feel like this is a very basic, introductory class to the social determinants of health. The professor spends the entire 2.5 hours lecturing, so if you want a class where you can be super involved, I do not recommend. Otherwise, the course material is interesting and the assignments are really easy, so if you want a GEM,  I would recommend this for sure.",0.91,123435,For Undergraduate and Graduate Students,African & African Amer Studies,African & African Amer Studies,,Social Sciences,,Lecture,"Poverty, Race, and Health"
